"label","name","lat","lng"
"Bus Stop","King St/Dudley St (West Melbourne)",-37.809296,144.952036
"Bus Stop","William St/Dudley St (West Melbourne)",-37.808701,144.954631
"Bus Stop","Banana Alley Vaults/Flinders St (Melbourne City)",-37.819156,144.961943
"Bus Stop","Market St/Flinders St (Melbourne City)",-37.818973,144.9618
"Bus Stop","Little Lonsdale St/Russell St (Melbourne City)",-37.809574,144.966488
"Bus Stop","Trades Hall/Lygon St (Carlton)",-37.806646,144.966046
"Bus Stop","La Trobe St/Russell St (Melbourne City)",-37.808579,144.966311
"Bus Stop","Little Lonsdale St/Exhibition St (Melbourne City)",-37.808841,144.968962
"Bus Stop","Spring St/Lonsdale St (Melbourne City)",-37.80972,144.971323
"Bus Stop","Exhibition St/Lonsdale St (Melbourne City)",-37.810444,144.968861
"Bus Stop","Melbourne Central/Lonsdale St (Melbourne City)",-37.811567,144.965025
"Bus Stop","Supreme Court/Lonsdale St (Melbourne City)",-37.813898,144.957021
"Bus Stop","Lonsdale St/Spencer St (Melbourne City)",-37.814821,144.952077
"Bus Stop","Spencer St/Lonsdale St (Melbourne City)",-37.814201,144.955297
"Bus Stop","King St/Lonsdale St (Melbourne City)",-37.814288,144.955124
"Bus Stop","County Court/Lonsdale St (Melbourne City)",-37.813453,144.957874
"Bus Stop","Hardware Lane/Lonsdale St (Melbourne City)",-37.812636,144.960645
"Bus Stop","Swanston St/Lonsdale St (Melbourne City)",-37.81131,144.965282
"Bus Stop","Tattersalls Lane/Lonsdale St (Melbourne City)",-37.811327,144.965202
"Bus Stop","Exhibition St/Lonsdale St (Melbourne City)",-37.809828,144.970252
"Bus Stop","Stanley St/Spencer St (West Melbourne)",-37.808227,144.948613
"Bus Stop","Hawke St/Spencer St (West Melbourne)",-37.80686,144.94672
"Bus Stop","Abbotsford St/Spencer St (West Melbourne)",-37.805903,144.944554
"Bus Stop","Dryburgh St/Spencer St (West Melbourne)",-37.80565,144.943437
"Bus Stop","Hawke St/Spencer St (West Melbourne)",-37.807393,144.947307
"Bus Stop","Flinders St/Queens Bridge St (Melbourne City)",-37.819456,144.96106
"Bus Stop","Stanley St/Spencer St (West Melbourne)",-37.808671,144.948737
"Bus Stop","Southern Cross Coach Terminal/Spencer St (Melbourne City)",-37.815084,144.951149
"Bus Stop","Argyle Square/Lygon St (Carlton)",-37.802512,144.966727
