census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2006,67,105892,105892,124-126 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Part Gnd & Mezz  126 Little Bourke Street MELBOURNE 3000,Golden Orchid Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,4,144.96744,-37.81295,4.2
2016,22,102102,102102,471-485 Collins Street MELBOURNE 3000,Melbourne (CBD),Part Ground  477 Collins Street MELBOURNE 3000,State of Grace,4511,Cafes and Restaurants,Seats - Outdoor,12,144.95723,-37.82005,3.5
2010,43,108070,108070,449-455 Bourke Street MELBOURNE 3000,Melbourne (CBD),Part Ground  455 Bourke Street MELBOURNE 3000,Hudsons Coffee,4511,Cafes and Restaurants,Seats - Indoor,25,144.96051,-37.81527,3.8
2006,84,105447,105447,285-287 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Ground  285-287 La Trobe Street MELBOURNE 3000,Slice Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,144.95951,-37.81239,4.6
2004,32,102115,102115,522-534 Collins Street MELBOURNE 3000,Melbourne (CBD),Part Ground 0 530-0 Collins Street MELBOURNE 3000,Sunmart Sushi,4511,Cafes and Restaurants,Seats - Indoor,40,144.9555,-37.81934,4.8
2018,51,105304,105304,185 King Street MELBOURNE 3000,Melbourne (CBD),185 King Street MELBOURNE 3000,King Jons,4511,Cafes and Restaurants,Seats - Indoor,47,144.95515,-37.81584,4.2
2010,45,101144,101144,331-339 Bourke Street MELBOURNE 3000,Melbourne (CBD),314 Bourke Street MELBOURNE 3000,Cafe E Torta,4511,Cafes and Restaurants,Seats - Outdoor,20,144.96396,-37.81439,4.4
2017,1108,609480,609480,829-843 Bourke Street DOCKLANDS 3008,Docklands,831B Bourke Street DOCKLANDS 3008,Indi Hots,4511,Cafes and Restaurants,Seats - Indoor,30,144.94346,-37.82045,4.8
2011,52,612820,612820,147-185 William Street MELBOURNE 3000,Melbourne (CBD),Tenancy 7 Ground  181-185 William Street MELBOURNE 3000,Mamma Mia,4511,Cafes and Restaurants,Seats - Indoor,14,144.95761,-37.81526,4.1
2021,812,110361,110361,89-91 City Road SOUTHBANK VIC 3006,Southbank,Suite 9-11 89-91 City Road SOUTHBANK VIC 3006,Sopranos,4511,Cafes and Restaurants,Seats - Indoor,50,144.96511,-37.82256,4.2
2002,58,105830,105830,24-34 Liverpool Street MELBOURNE 3000,Melbourne (CBD),Unit 6 43 Liverpool Street MELBOURNE 3000,Punch Lane Wine Bar/restaurant,4511,Cafes and Restaurants,Seats - Outdoor,4,144.97005,-37.81256,4.8
2016,44,108111,108111,118-126 Queen Street MELBOURNE 3000,Melbourne (CBD),Shop 1 118 Queen Street MELBOURNE 3000,CoF.E.Fix,4511,Cafes and Restaurants,Seats - Outdoor,8,144.95998,-37.81729,4.6
2009,58,101225,101225,76 Bourke Street MELBOURNE 3000,Melbourne (CBD),76 Bourke Street MELBOURNE 3000,Nudel Bar,4511,Cafes and Restaurants,Seats - Indoor,75,144.97094,-37.8117,4.4
2021,1108,611367,611367,ANZ 791-833 Collins Street DOCKLANDS VIC 3008,Docklands,Shop 11P 833 Collins Street DOCKLANDS VIC 3008,In A Rush Espresso,4511,Cafes and Restaurants,Seats - Outdoor,54,144.9457,-37.82206,4.3
2013,246,559022,559022,111-113 Grattan Street CARLTON 3053,Carlton,111-113 Grattan Street CARLTON 3053,Tigerlily Cafe,4511,Cafes and Restaurants,Seats - Indoor,52,144.96577,-37.80082,3.7
2018,52,111282,636824,515 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Tenancy 25 Ground  515 Little Bourke Street MELBOURNE 3000,Lt Osteria,4511,Cafes and Restaurants,Seats - Indoor,65,144.95739,-37.81532,4
2003,46,101137,101137,235-251 Bourke Street MELBOURNE 3000,Melbourne (CBD),Shop 18 239 Bourke Street MELBOURNE 3000,Chatter Box - Curry & Noodle Bar,4511,Cafes and Restaurants,Seats - Indoor,32,144.9653,-37.81538,4.2
2019,217,102686,102686,313-315 Drummond Street CARLTON 3053,Carlton,313-315 Drummond Street CARLTON 3053,Masani's Italian Dinning & Terrace,4511,Cafes and Restaurants,Seats - Outdoor,30,144.96849,-37.79838,3.6
2002,33,102123,102123,446-452 Collins Street MELBOURNE 3000,Melbourne (CBD),Unit 1 Basement  446-452 Collins Street MELBOURNE 3000,Basement Deli,4511,Cafes and Restaurants,Seats - Indoor,80,144.95813,-37.81894,4
2021,649,110742,108974,Parliament House Parliament of Victoria 160 Spring Street EAST MELBOURNE VIC 3002,East Melbourne,Level 1 160 Spring Street EAST MELBOURNE VIC 3002,Strangers Corridor,4511,Cafes and Restaurants,Seats - Indoor,60,144.97416,-37.81086,3.7
2021,74,105737,105737,University City Apartments 402-408 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),404-406 Lonsdale Street MELBOURNE VIC 3000,Mook Ji Bar,4511,Cafes and Restaurants,Seats - Indoor,68,144.96033,-37.81244,4.2
2021,104,103228,103228,449-451 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Ground 449 Elizabeth Street MELBOURNE VIC 3000,Malaysian Laksa House,4511,Cafes and Restaurants,Seats - Indoor,54,144.96022,-37.80856,3.8
2018,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Shop 2 391 Little Lonsdale Street MELBOURNE 3000,CJ Lunchbar,4511,Cafes and Restaurants,Seats - Indoor,36,144.96034,-37.81187,4.2
2017,93,110141,110141,324-328 William Street MELBOURNE 3000,Melbourne (CBD),Part Ground  326 William Street MELBOURNE 3000,La Stradda Cafe,4511,Cafes and Restaurants,Seats - Indoor,100,144.95669,-37.81146,3.9
2010,23,102095,102095,401-403 Collins Street MELBOURNE 3000,Melbourne (CBD),Ground  401 Collins Street MELBOURNE 3000,Morgans at 401,4511,Cafes and Restaurants,Seats - Outdoor,30,144.96121,-37.81738,4.2
2009,67,105896,105896,108-110 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Part Ground  108-110 Little Bourke Street MELBOURNE 3000,Info Booth Cafe  8 Tea,4511,Cafes and Restaurants,Seats - Indoor,38,144.96917,-37.81123,4
2018,1110,608355,608355,364-378 Docklands Drive DOCKLANDS 3008,Docklands,Part Level 9 271-0 Docklands Drive DOCKLANDS 3008,Humble Cafe,4511,Cafes and Restaurants,Seats - Indoor,25,144.94187,-37.81286,4.3
2017,357,109822,109822,368 Victoria Street NORTH MELBOURNE 3051,North Melbourne,368 Victoria Street NORTH MELBOURNE 3051,Prudence Bar,4511,Cafes and Restaurants,Seats - Indoor,70,144.95405,-37.80543,4.1
2013,218,106197,106197,350 Lygon Street CARLTON 3053,Carlton,350 Lygon Street CARLTON 3053,Grill'd Healthy Burgers,4511,Cafes and Restaurants,Seats - Indoor,56,144.96753,-37.79887,3.4
