"lat","lng","name"
-37.823816,144.967256,"17-Arts Precinct/Sturt St (Southbank)"
-37.824094,144.96718,"17-Arts Precinct/Sturt St (Southbank)"
-37.825924,144.966664,"18-Grant St/Sturt St (Southbank)"
-37.828184,144.966057,"19-Miles St/Sturt St (Southbank)"
-37.830119,144.96539,"20-Kings Way/Sturt St (Southbank)"
-37.82626,144.960577,"116-City Rd/Kings Way (Southbank)"
-37.821711,144.961225,"115-Casino East/Queens Bridge St (Southbank)"
-37.819429,144.961106,"1-Flinders St/Queens Bridge St (Melbourne City)"
-37.818539,144.960698,"2-Flinders Lane/Market St (Melbourne City)"
-37.81864,144.959776,"3-William St/Flinders Lane (Melbourne City)"
-37.817819,144.959173,"4-Collins St/William St (Melbourne City)"
-37.807799,144.962868,"7-RMIT University/Swanston St (Melbourne City)"
-37.805135,144.963112,"4-Queensberry St/Swanston St (Carlton)"
-37.802629,144.963555,"3-Lincoln Square/Swanston St (Carlton)"
-37.798766,144.964241,"1-Melbourne University/Swanston St (Carlton)"
-37.797587,144.952394,"15-Murphy St/Flemington Rd (North Melbourne)"
-37.827691,144.953709,"125A-Southbank Tram Depot/Light Rail (South Melbourne)"
-37.808551,144.978806,"13-Lansdowne St/Victoria Pde (East Melbourne)"
-37.808925,144.982215,"15-Smith St/Victoria Pde (East Melbourne)"
-37.809292,144.985738,"16-Wellington St/Victoria Pde (East Melbourne)"
-37.809795,144.990415,"18-Hoddle St/Victoria Pde (Collingwood)"
-37.797488,144.952385,"15-Murphy St/Flemington Rd (North Melbourne)"
-37.801384,144.95673,"12-Flemington Rd/Peel St (North Melbourne)"
-37.801548,144.956805,"12-Flemington Rd/Peel St (North Melbourne)"
-37.803623,144.956441,"11-Queensberry St/Peel St (North Melbourne)"
-37.803307,144.956393,"11-Queensberry St/Peel St (North Melbourne)"
-37.827223,144.957869,"126-City Rd/Clarendon St (South Melbourne)"
-37.811664,144.973246,"0-Bourke St/Spring St (Melbourne City)"
-37.814566,144.946745,"D1-Stadium Precinct/La Trobe St (Docklands)"
-37.820834,144.955853,"1-Spencer St/Flinders St (Melbourne City)"
-37.821051,144.955381,"1-Spencer St/Flinders St (Melbourne City)"
-37.82031,144.957821,"2-Melbourne Aquarium/Flinders St (Melbourne City)"
-37.820109,144.958213,"2-Melbourne Aquarium/Flinders St (Melbourne City)"
-37.814215,144.970712,"7-Exhibition St/Collins St (Melbourne City)"
