"Place","Distance","Theme","Count"
"Melbourne General Cemetery","Within 500m","Public and Institutional Facilities",1
"Melbourne General Cemetery","500m - 1km","Leisure and Recreation",3
"Melbourne General Cemetery","500m - 1km","Place Of Assembly",2
"Melbourne General Cemetery","500m - 1km","Place of Worship",1
"Melbourne General Cemetery","500m - 1km","Public and Institutional Facilities",1
"Melbourne General Cemetery","1km - 5km","Health Services",10
"Melbourne General Cemetery","1km - 5km","Leisure and Recreation",60
"Melbourne General Cemetery","1km - 5km","Place Of Assembly",37
"Melbourne General Cemetery","1km - 5km","Place of Worship",27
"Melbourne General Cemetery","1km - 5km","Public and Institutional Facilities",49
"Melbourne General Cemetery","1km - 5km","Retail",4
"Melbourne General Cemetery","5km - 10km","Health Services",1
"Melbourne General Cemetery","5km - 10km","Leisure and Recreation",3
"Melbourne General Cemetery","5km - 10km","Place Of Assembly",1
"Melbourne General Cemetery","5km - 10km","Place of Worship",3
"Melbourne General Cemetery","5km - 10km","Public and Institutional Facilities",3
"Queen Victoria Market","Within 500m","Leisure and Recreation",1
"Queen Victoria Market","Within 500m","Place of Worship",1
"Queen Victoria Market","Within 500m","Retail",1
"Queen Victoria Market","500m - 1km","Health Services",2
"Queen Victoria Market","500m - 1km","Leisure and Recreation",5
"Queen Victoria Market","500m - 1km","Place Of Assembly",2
"Queen Victoria Market","500m - 1km","Place of Worship",6
"Queen Victoria Market","500m - 1km","Public and Institutional Facilities",11
"Queen Victoria Market","500m - 1km","Retail",2
"Queen Victoria Market","1km - 5km","Health Services",9
"Queen Victoria Market","1km - 5km","Leisure and Recreation",60
"Queen Victoria Market","1km - 5km","Place Of Assembly",38
"Queen Victoria Market","1km - 5km","Place of Worship",24
"Queen Victoria Market","1km - 5km","Public and Institutional Facilities",42
"Queen Victoria Market","1km - 5km","Retail",1
"Queen Victoria Market","5km - 10km","Leisure and Recreation",1
"Queen Victoria Market","5km - 10km","Public and Institutional Facilities",1
"Carlton Primary School","Within 500m","Leisure and Recreation",2
"Carlton Primary School","Within 500m","Place Of Assembly",2
"Carlton Primary School","Within 500m","Place of Worship",1
"Carlton Primary School","Within 500m","Public and Institutional Facilities",1
"Carlton Primary School","500m - 1km","Health Services",1
"Carlton Primary School","500m - 1km","Leisure and Recreation",5
"Carlton Primary School","500m - 1km","Place Of Assembly",4
"Carlton Primary School","500m - 1km","Place of Worship",1
"Carlton Primary School","500m - 1km","Public and Institutional Facilities",3
"Carlton Primary School","1km - 5km","Health Services",9
"Carlton Primary School","1km - 5km","Leisure and Recreation",55
"Carlton Primary School","1km - 5km","Place Of Assembly",34
"Carlton Primary School","1km - 5km","Place of Worship",28
"Carlton Primary School","1km - 5km","Public and Institutional Facilities",49
"Carlton Primary School","1km - 5km","Retail",4
"Carlton Primary School","5km - 10km","Health Services",1
"Carlton Primary School","5km - 10km","Leisure and Recreation",5
"Carlton Primary School","5km - 10km","Place of Worship",1
"Carlton Primary School","5km - 10km","Public and Institutional Facilities",1
"Wesley College","Within 500m","Health Services",1
"Wesley College","Within 500m","Public and Institutional Facilities",1
"Wesley College","500m - 1km","Leisure and Recreation",1
"Wesley College","500m - 1km","Place of Worship",1
"Wesley College","1km - 5km","Health Services",5
"Wesley College","1km - 5km","Leisure and Recreation",36
"Wesley College","1km - 5km","Place Of Assembly",35
"Wesley College","1km - 5km","Place of Worship",19
"Wesley College","1km - 5km","Public and Institutional Facilities",41
"Wesley College","1km - 5km","Retail",2
"Wesley College","5km - 10km","Health Services",5
"Wesley College","5km - 10km","Leisure and Recreation",30
"Wesley College","5km - 10km","Place Of Assembly",5
"Wesley College","5km - 10km","Place of Worship",11
"Wesley College","5km - 10km","Public and Institutional Facilities",12
"Wesley College","5km - 10km","Retail",2
"State Theatre","Within 500m","Leisure and Recreation",7
"State Theatre","Within 500m","Place Of Assembly",8
"State Theatre","Within 500m","Place of Worship",2
"State Theatre","Within 500m","Public and Institutional Facilities",14
"State Theatre","500m - 1km","Leisure and Recreation",7
"State Theatre","500m - 1km","Place Of Assembly",7
"State Theatre","500m - 1km","Place of Worship",3
"State Theatre","500m - 1km","Public and Institutional Facilities",7
"State Theatre","500m - 1km","Retail",2
"State Theatre","1km - 5km","Health Services",11
"State Theatre","1km - 5km","Leisure and Recreation",48
"State Theatre","1km - 5km","Place Of Assembly",25
"State Theatre","1km - 5km","Place of Worship",26
"State Theatre","1km - 5km","Public and Institutional Facilities",33
"State Theatre","1km - 5km","Retail",2
"State Theatre","5km - 10km","Leisure and Recreation",5
"University of Melbourne (VCA and Music)","Within 500m","Leisure and Recreation",5
"University of Melbourne (VCA and Music)","Within 500m","Place Of Assembly",8
"University of Melbourne (VCA and Music)","Within 500m","Place of Worship",1
"University of Melbourne (VCA and Music)","Within 500m","Public and Institutional Facilities",11
"University of Melbourne (VCA and Music)","500m - 1km","Leisure and Recreation",10
"University of Melbourne (VCA and Music)","500m - 1km","Place Of Assembly",5
"University of Melbourne (VCA and Music)","500m - 1km","Place of Worship",1
"University of Melbourne (VCA and Music)","500m - 1km","Public and Institutional Facilities",7
"University of Melbourne (VCA and Music)","1km - 5km","Health Services",11
"University of Melbourne (VCA and Music)","1km - 5km","Leisure and Recreation",47
"University of Melbourne (VCA and Music)","1km - 5km","Place Of Assembly",27
"University of Melbourne (VCA and Music)","1km - 5km","Place of Worship",28
"University of Melbourne (VCA and Music)","1km - 5km","Public and Institutional Facilities",35
"University of Melbourne (VCA and Music)","1km - 5km","Retail",4
"University of Melbourne (VCA and Music)","5km - 10km","Leisure and Recreation",5
"University of Melbourne (VCA and Music)","5km - 10km","Place of Worship",1
"University of Melbourne (VCA and Music)","5km - 10km","Public and Institutional Facilities",1
"St Martins Youth Arts Centre","Within 500m","Place Of Assembly",1
"St Martins Youth Arts Centre","Within 500m","Place of Worship",1
"St Martins Youth Arts Centre","Within 500m","Public and Institutional Facilities",1
"St Martins Youth Arts Centre","500m - 1km","Leisure and Recreation",3
"St Martins Youth Arts Centre","500m - 1km","Place of Worship",2
"St Martins Youth Arts Centre","500m - 1km","Public and Institutional Facilities",2
"St Martins Youth Arts Centre","1km - 5km","Health Services",10
"St Martins Youth Arts Centre","1km - 5km","Leisure and Recreation",47
"St Martins Youth Arts Centre","1km - 5km","Place Of Assembly",39
"St Martins Youth Arts Centre","1km - 5km","Place of Worship",23
"St Martins Youth Arts Centre","1km - 5km","Public and Institutional Facilities",47
"St Martins Youth Arts Centre","1km - 5km","Retail",3
"St Martins Youth Arts Centre","5km - 10km","Health Services",1
"St Martins Youth Arts Centre","5km - 10km","Leisure and Recreation",17
"St Martins Youth Arts Centre","5km - 10km","Place of Worship",5
"St Martins Youth Arts Centre","5km - 10km","Public and Institutional Facilities",4
"St Martins Youth Arts Centre","5km - 10km","Retail",1
"Princess Theatre","Within 500m","Health Services",2
"Princess Theatre","Within 500m","Leisure and Recreation",1
"Princess Theatre","Within 500m","Place Of Assembly",5
"Princess Theatre","Within 500m","Place of Worship",6
"Princess Theatre","Within 500m","Public and Institutional Facilities",4
"Princess Theatre","500m - 1km","Health Services",1
"Princess Theatre","500m - 1km","Leisure and Recreation",8
"Princess Theatre","500m - 1km","Place Of Assembly",13
"Princess Theatre","500m - 1km","Place of Worship",8
"Princess Theatre","500m - 1km","Public and Institutional Facilities",12
"Princess Theatre","500m - 1km","Retail",2
"Princess Theatre","1km - 5km","Health Services",8
"Princess Theatre","1km - 5km","Leisure and Recreation",52
"Princess Theatre","1km - 5km","Place Of Assembly",22
"Princess Theatre","1km - 5km","Place of Worship",17
"Princess Theatre","1km - 5km","Public and Institutional Facilities",38
"Princess Theatre","1km - 5km","Retail",2
"Princess Theatre","5km - 10km","Leisure and Recreation",6
"University High School","Within 500m","Health Services",3
"University High School","Within 500m","Public and Institutional Facilities",5
"University High School","500m - 1km","Health Services",2
"University High School","500m - 1km","Leisure and Recreation",3
"University High School","500m - 1km","Place Of Assembly",1
"University High School","500m - 1km","Place of Worship",1
"University High School","1km - 5km","Health Services",5
"University High School","1km - 5km","Leisure and Recreation",61
"University High School","1km - 5km","Place Of Assembly",39
"University High School","1km - 5km","Place of Worship",28
"University High School","1km - 5km","Public and Institutional Facilities",48
"University High School","1km - 5km","Retail",4
"University High School","5km - 10km","Health Services",1
"University High School","5km - 10km","Leisure and Recreation",3
"University High School","5km - 10km","Place of Worship",2
"University High School","5km - 10km","Public and Institutional Facilities",1
"State Library Victoria","Within 500m","Leisure and Recreation",1
"State Library Victoria","Within 500m","Place Of Assembly",3
"State Library Victoria","Within 500m","Place of Worship",4
"State Library Victoria","Within 500m","Public and Institutional Facilities",5
"State Library Victoria","Within 500m","Retail",2
"State Library Victoria","500m - 1km","Leisure and Recreation",7
"State Library Victoria","500m - 1km","Place Of Assembly",13
"State Library Victoria","500m - 1km","Place of Worship",8
"State Library Victoria","500m - 1km","Public and Institutional Facilities",16
"State Library Victoria","500m - 1km","Retail",1
"State Library Victoria","1km - 5km","Health Services",11
"State Library Victoria","1km - 5km","Leisure and Recreation",56
"State Library Victoria","1km - 5km","Place Of Assembly",24
"State Library Victoria","1km - 5km","Place of Worship",19
"State Library Victoria","1km - 5km","Public and Institutional Facilities",33
"State Library Victoria","1km - 5km","Retail",1
"State Library Victoria","5km - 10km","Leisure and Recreation",3
"Regent Theatre","Within 500m","Leisure and Recreation",2
"Regent Theatre","Within 500m","Place Of Assembly",7
"Regent Theatre","Within 500m","Place of Worship",4
"Regent Theatre","Within 500m","Public and Institutional Facilities",7
"Regent Theatre","Within 500m","Retail",2
"Regent Theatre","500m - 1km","Health Services",1
"Regent Theatre","500m - 1km","Leisure and Recreation",9
"Regent Theatre","500m - 1km","Place Of Assembly",11
"Regent Theatre","500m - 1km","Place of Worship",9
"Regent Theatre","500m - 1km","Public and Institutional Facilities",23
"Regent Theatre","1km - 5km","Health Services",10
"Regent Theatre","1km - 5km","Leisure and Recreation",50
"Regent Theatre","1km - 5km","Place Of Assembly",22
"Regent Theatre","1km - 5km","Place of Worship",18
"Regent Theatre","1km - 5km","Public and Institutional Facilities",24
"Regent Theatre","1km - 5km","Retail",2
"Regent Theatre","5km - 10km","Leisure and Recreation",6
"Old Treasury Building","Within 500m","Health Services",1
"Old Treasury Building","Within 500m","Leisure and Recreation",2
"Old Treasury Building","Within 500m","Place Of Assembly",3
"Old Treasury Building","Within 500m","Place of Worship",5
"Old Treasury Building","Within 500m","Public and Institutional Facilities",5
"Old Treasury Building","500m - 1km","Health Services",4
"Old Treasury Building","500m - 1km","Leisure and Recreation",10
"Old Treasury Building","500m - 1km","Place Of Assembly",14
"Old Treasury Building","500m - 1km","Place of Worship",8
"Old Treasury Building","500m - 1km","Public and Institutional Facilities",8
"Old Treasury Building","500m - 1km","Retail",2
"Old Treasury Building","1km - 5km","Health Services",6
"Old Treasury Building","1km - 5km","Leisure and Recreation",49
"Old Treasury Building","1km - 5km","Place Of Assembly",23
"Old Treasury Building","1km - 5km","Place of Worship",18
"Old Treasury Building","1km - 5km","Public and Institutional Facilities",41
"Old Treasury Building","1km - 5km","Retail",2
"Old Treasury Building","5km - 10km","Leisure and Recreation",6
"Supreme Court","Within 500m","Leisure and Recreation",1
"Supreme Court","Within 500m","Place Of Assembly",1
"Supreme Court","Within 500m","Place of Worship",3
"Supreme Court","Within 500m","Public and Institutional Facilities",7
"Supreme Court","500m - 1km","Leisure and Recreation",6
"Supreme Court","500m - 1km","Place Of Assembly",6
"Supreme Court","500m - 1km","Place of Worship",6
"Supreme Court","500m - 1km","Public and Institutional Facilities",11
"Supreme Court","500m - 1km","Retail",3
"Supreme Court","1km - 5km","Health Services",11
"Supreme Court","1km - 5km","Leisure and Recreation",59
"Supreme Court","1km - 5km","Place Of Assembly",33
"Supreme Court","1km - 5km","Place of Worship",22
"Supreme Court","1km - 5km","Public and Institutional Facilities",36
"Supreme Court","1km - 5km","Retail",1
"Supreme Court","5km - 10km","Leisure and Recreation",1
"Richmond Football Club","Within 500m","Leisure and Recreation",3
"Richmond Football Club","Within 500m","Place Of Assembly",2
"Richmond Football Club","500m - 1km","Leisure and Recreation",7
"Richmond Football Club","500m - 1km","Place of Worship",1
"Richmond Football Club","1km - 5km","Health Services",11
"Richmond Football Club","1km - 5km","Leisure and Recreation",47
"Richmond Football Club","1km - 5km","Place Of Assembly",38
"Richmond Football Club","1km - 5km","Place of Worship",27
"Richmond Football Club","1km - 5km","Public and Institutional Facilities",52
"Richmond Football Club","1km - 5km","Retail",3
"Richmond Football Club","5km - 10km","Leisure and Recreation",10
"Richmond Football Club","5km - 10km","Place of Worship",3
"Richmond Football Club","5km - 10km","Public and Institutional Facilities",2
"Richmond Football Club","5km - 10km","Retail",1
"Melbourne Zoo","Within 500m","Leisure and Recreation",2
"Melbourne Zoo","500m - 1km","Leisure and Recreation",5
"Melbourne Zoo","1km - 5km","Health Services",10
"Melbourne Zoo","1km - 5km","Leisure and Recreation",50
"Melbourne Zoo","1km - 5km","Place Of Assembly",39
"Melbourne Zoo","1km - 5km","Place of Worship",28
"Melbourne Zoo","1km - 5km","Public and Institutional Facilities",50
"Melbourne Zoo","1km - 5km","Retail",4
"Melbourne Zoo","5km - 10km","Health Services",1
"Melbourne Zoo","5km - 10km","Leisure and Recreation",10
"Melbourne Zoo","5km - 10km","Place Of Assembly",1
"Melbourne Zoo","5km - 10km","Place of Worship",3
"Melbourne Zoo","5km - 10km","Public and Institutional Facilities",4
"Australian Broadcasting Corporation (ABC)","Within 500m","Leisure and Recreation",2
"Australian Broadcasting Corporation (ABC)","Within 500m","Place Of Assembly",8
"Australian Broadcasting Corporation (ABC)","Within 500m","Place of Worship",1
"Australian Broadcasting Corporation (ABC)","Within 500m","Public and Institutional Facilities",13
"Australian Broadcasting Corporation (ABC)","500m - 1km","Leisure and Recreation",11
"Australian Broadcasting Corporation (ABC)","500m - 1km","Place Of Assembly",7
"Australian Broadcasting Corporation (ABC)","500m - 1km","Place of Worship",1
"Australian Broadcasting Corporation (ABC)","500m - 1km","Public and Institutional Facilities",7
"Australian Broadcasting Corporation (ABC)","1km - 5km","Health Services",11
"Australian Broadcasting Corporation (ABC)","1km - 5km","Leisure and Recreation",49
"Australian Broadcasting Corporation (ABC)","1km - 5km","Place Of Assembly",25
"Australian Broadcasting Corporation (ABC)","1km - 5km","Place of Worship",29
"Australian Broadcasting Corporation (ABC)","1km - 5km","Public and Institutional Facilities",34
"Australian Broadcasting Corporation (ABC)","1km - 5km","Retail",4
"Australian Broadcasting Corporation (ABC)","5km - 10km","Leisure and Recreation",5
"Melbourne Convention Centre","Within 500m","Leisure and Recreation",1
"Melbourne Convention Centre","Within 500m","Place Of Assembly",4
"Melbourne Convention Centre","Within 500m","Public and Institutional Facilities",2
"Melbourne Convention Centre","500m - 1km","Leisure and Recreation",5
"Melbourne Convention Centre","500m - 1km","Place Of Assembly",2
"Melbourne Convention Centre","500m - 1km","Place of Worship",1
"Melbourne Convention Centre","500m - 1km","Public and Institutional Facilities",1
"Melbourne Convention Centre","1km - 5km","Health Services",11
"Melbourne Convention Centre","1km - 5km","Leisure and Recreation",59
"Melbourne Convention Centre","1km - 5km","Place Of Assembly",34
"Melbourne Convention Centre","1km - 5km","Place of Worship",30
"Melbourne Convention Centre","1km - 5km","Public and Institutional Facilities",51
"Melbourne Convention Centre","1km - 5km","Retail",4
"Melbourne Convention Centre","5km - 10km","Leisure and Recreation",2
"Melbourne International Shooting Club","Within 500m","Leisure and Recreation",2
"Melbourne International Shooting Club","1km - 5km","Health Services",1
"Melbourne International Shooting Club","1km - 5km","Leisure and Recreation",23
"Melbourne International Shooting Club","1km - 5km","Place Of Assembly",16
"Melbourne International Shooting Club","1km - 5km","Place of Worship",14
"Melbourne International Shooting Club","1km - 5km","Public and Institutional Facilities",36
"Melbourne International Shooting Club","1km - 5km","Retail",4
"Melbourne International Shooting Club","5km - 10km","Health Services",10
"Melbourne International Shooting Club","5km - 10km","Leisure and Recreation",42
"Melbourne International Shooting Club","5km - 10km","Place Of Assembly",24
"Melbourne International Shooting Club","5km - 10km","Place of Worship",17
"Melbourne International Shooting Club","5km - 10km","Public and Institutional Facilities",18
"Malthouse Theatre","Within 500m","Place Of Assembly",3
"Malthouse Theatre","Within 500m","Public and Institutional Facilities",9
"Malthouse Theatre","500m - 1km","Leisure and Recreation",8
"Malthouse Theatre","500m - 1km","Place Of Assembly",5
"Malthouse Theatre","500m - 1km","Place of Worship",1
"Malthouse Theatre","500m - 1km","Public and Institutional Facilities",6
"Malthouse Theatre","1km - 5km","Health Services",11
"Malthouse Theatre","1km - 5km","Leisure and Recreation",53
"Malthouse Theatre","1km - 5km","Place Of Assembly",32
"Malthouse Theatre","1km - 5km","Place of Worship",29
"Malthouse Theatre","1km - 5km","Public and Institutional Facilities",38
"Malthouse Theatre","1km - 5km","Retail",4
"Malthouse Theatre","5km - 10km","Leisure and Recreation",6
"Malthouse Theatre","5km - 10km","Place of Worship",1
"Malthouse Theatre","5km - 10km","Public and Institutional Facilities",1
"Crown Entertainment Complex","Within 500m","Leisure and Recreation",4
"Crown Entertainment Complex","Within 500m","Place Of Assembly",4
"Crown Entertainment Complex","Within 500m","Public and Institutional Facilities",1
"Crown Entertainment Complex","500m - 1km","Leisure and Recreation",3
"Crown Entertainment Complex","500m - 1km","Place Of Assembly",6
"Crown Entertainment Complex","500m - 1km","Place of Worship",2
"Crown Entertainment Complex","500m - 1km","Public and Institutional Facilities",13
"Crown Entertainment Complex","1km - 5km","Health Services",11
"Crown Entertainment Complex","1km - 5km","Leisure and Recreation",58
"Crown Entertainment Complex","1km - 5km","Place Of Assembly",30
"Crown Entertainment Complex","1km - 5km","Place of Worship",29
"Crown Entertainment Complex","1km - 5km","Public and Institutional Facilities",40
"Crown Entertainment Complex","1km - 5km","Retail",4
"Crown Entertainment Complex","5km - 10km","Leisure and Recreation",2
"Thoroughbred Racing Gallery","Within 500m","Leisure and Recreation",3
"Thoroughbred Racing Gallery","Within 500m","Place Of Assembly",2
"Thoroughbred Racing Gallery","500m - 1km","Health Services",2
"Thoroughbred Racing Gallery","500m - 1km","Leisure and Recreation",12
"Thoroughbred Racing Gallery","500m - 1km","Place Of Assembly",2
"Thoroughbred Racing Gallery","500m - 1km","Place of Worship",2
"Thoroughbred Racing Gallery","500m - 1km","Public and Institutional Facilities",2
"Thoroughbred Racing Gallery","1km - 5km","Health Services",9
"Thoroughbred Racing Gallery","1km - 5km","Leisure and Recreation",45
"Thoroughbred Racing Gallery","1km - 5km","Place Of Assembly",36
"Thoroughbred Racing Gallery","1km - 5km","Place of Worship",27
"Thoroughbred Racing Gallery","1km - 5km","Public and Institutional Facilities",50
"Thoroughbred Racing Gallery","1km - 5km","Retail",4
"Thoroughbred Racing Gallery","5km - 10km","Leisure and Recreation",7
"Thoroughbred Racing Gallery","5km - 10km","Place of Worship",2
"Thoroughbred Racing Gallery","5km - 10km","Public and Institutional Facilities",2
"Docklands Park","Within 500m","Leisure and Recreation",2
"Docklands Park","Within 500m","Place Of Assembly",1
"Docklands Park","Within 500m","Public and Institutional Facilities",1
"Docklands Park","500m - 1km","Leisure and Recreation",5
"Docklands Park","500m - 1km","Place Of Assembly",5
"Docklands Park","500m - 1km","Place of Worship",1
"Docklands Park","500m - 1km","Public and Institutional Facilities",2
"Docklands Park","1km - 5km","Health Services",11
"Docklands Park","1km - 5km","Leisure and Recreation",59
"Docklands Park","1km - 5km","Place Of Assembly",34
"Docklands Park","1km - 5km","Place of Worship",30
"Docklands Park","1km - 5km","Public and Institutional Facilities",51
"Docklands Park","1km - 5km","Retail",4
"Docklands Park","5km - 10km","Leisure and Recreation",1
"Waterfront City","Within 500m","Leisure and Recreation",5
"Waterfront City","Within 500m","Place Of Assembly",1
"Waterfront City","Within 500m","Public and Institutional Facilities",1
"Waterfront City","500m - 1km","Leisure and Recreation",4
"Waterfront City","1km - 5km","Health Services",10
"Waterfront City","1km - 5km","Leisure and Recreation",58
"Waterfront City","1km - 5km","Place Of Assembly",39
"Waterfront City","1km - 5km","Place of Worship",31
"Waterfront City","1km - 5km","Public and Institutional Facilities",52
"Waterfront City","1km - 5km","Retail",4
"Waterfront City","5km - 10km","Health Services",1
"Waterfront City","5km - 10km","Public and Institutional Facilities",1
"Point Park","Within 500m","Leisure and Recreation",2
"Point Park","500m - 1km","Leisure and Recreation",3
"Point Park","500m - 1km","Place Of Assembly",3
"Point Park","500m - 1km","Public and Institutional Facilities",3
"Point Park","1km - 5km","Health Services",11
"Point Park","1km - 5km","Leisure and Recreation",61
"Point Park","1km - 5km","Place Of Assembly",37
"Point Park","1km - 5km","Place of Worship",31
"Point Park","1km - 5km","Public and Institutional Facilities",51
"Point Park","1km - 5km","Retail",4
"Point Park","5km - 10km","Leisure and Recreation",1
"Kensington Primary School","Within 500m","Place of Worship",2
"Kensington Primary School","Within 500m","Public and Institutional Facilities",1
"Kensington Primary School","500m - 1km","Leisure and Recreation",2
"Kensington Primary School","1km - 5km","Health Services",7
"Kensington Primary School","1km - 5km","Leisure and Recreation",46
"Kensington Primary School","1km - 5km","Place Of Assembly",31
"Kensington Primary School","1km - 5km","Place of Worship",24
"Kensington Primary School","1km - 5km","Public and Institutional Facilities",44
"Kensington Primary School","1km - 5km","Retail",4
"Kensington Primary School","5km - 10km","Health Services",4
"Kensington Primary School","5km - 10km","Leisure and Recreation",19
"Kensington Primary School","5km - 10km","Place Of Assembly",9
"Kensington Primary School","5km - 10km","Place of Worship",5
"Kensington Primary School","5km - 10km","Public and Institutional Facilities",9
"Fox Classic Car Collection","Within 500m","Leisure and Recreation",1
"Fox Classic Car Collection","Within 500m","Place Of Assembly",2
"Fox Classic Car Collection","Within 500m","Public and Institutional Facilities",2
"Fox Classic Car Collection","500m - 1km","Leisure and Recreation",8
"Fox Classic Car Collection","500m - 1km","Place Of Assembly",4
"Fox Classic Car Collection","500m - 1km","Place of Worship",1
"Fox Classic Car Collection","1km - 5km","Health Services",11
"Fox Classic Car Collection","1km - 5km","Leisure and Recreation",57
"Fox Classic Car Collection","1km - 5km","Place Of Assembly",34
"Fox Classic Car Collection","1km - 5km","Place of Worship",30
"Fox Classic Car Collection","1km - 5km","Public and Institutional Facilities",52
"Fox Classic Car Collection","1km - 5km","Retail",4
"Fox Classic Car Collection","5km - 10km","Leisure and Recreation",1
"IMAX Melbourne","Within 500m","Leisure and Recreation",5
"IMAX Melbourne","Within 500m","Place Of Assembly",3
"IMAX Melbourne","Within 500m","Place of Worship",2
"IMAX Melbourne","Within 500m","Public and Institutional Facilities",1
"IMAX Melbourne","500m - 1km","Health Services",2
"IMAX Melbourne","500m - 1km","Leisure and Recreation",5
"IMAX Melbourne","500m - 1km","Place Of Assembly",9
"IMAX Melbourne","500m - 1km","Place of Worship",8
"IMAX Melbourne","500m - 1km","Public and Institutional Facilities",6
"IMAX Melbourne","1km - 5km","Health Services",9
"IMAX Melbourne","1km - 5km","Leisure and Recreation",53
"IMAX Melbourne","1km - 5km","Place Of Assembly",28
"IMAX Melbourne","1km - 5km","Place of Worship",21
"IMAX Melbourne","1km - 5km","Public and Institutional Facilities",46
"IMAX Melbourne","1km - 5km","Retail",4
"IMAX Melbourne","5km - 10km","Leisure and Recreation",4
"IMAX Melbourne","5km - 10km","Public and Institutional Facilities",1
"Melbourne Theatre Company","Within 500m","Leisure and Recreation",3
"Melbourne Theatre Company","Within 500m","Place Of Assembly",8
"Melbourne Theatre Company","Within 500m","Place of Worship",1
"Melbourne Theatre Company","Within 500m","Public and Institutional Facilities",12
"Melbourne Theatre Company","500m - 1km","Leisure and Recreation",12
"Melbourne Theatre Company","500m - 1km","Place Of Assembly",5
"Melbourne Theatre Company","500m - 1km","Place of Worship",1
"Melbourne Theatre Company","500m - 1km","Public and Institutional Facilities",7
"Melbourne Theatre Company","1km - 5km","Health Services",11
"Melbourne Theatre Company","1km - 5km","Leisure and Recreation",47
"Melbourne Theatre Company","1km - 5km","Place Of Assembly",27
"Melbourne Theatre Company","1km - 5km","Place of Worship",29
"Melbourne Theatre Company","1km - 5km","Public and Institutional Facilities",34
"Melbourne Theatre Company","1km - 5km","Retail",4
"Melbourne Theatre Company","5km - 10km","Leisure and Recreation",5
"Melbourne Theatre Company","5km - 10km","Public and Institutional Facilities",1
"Alexandra Gardens","Within 500m","Leisure and Recreation",6
"Alexandra Gardens","Within 500m","Place Of Assembly",7
"Alexandra Gardens","Within 500m","Place of Worship",1
"Alexandra Gardens","Within 500m","Public and Institutional Facilities",6
"Alexandra Gardens","500m - 1km","Leisure and Recreation",9
"Alexandra Gardens","500m - 1km","Place Of Assembly",8
"Alexandra Gardens","500m - 1km","Place of Worship",4
"Alexandra Gardens","500m - 1km","Public and Institutional Facilities",17
"Alexandra Gardens","1km - 5km","Health Services",11
"Alexandra Gardens","1km - 5km","Leisure and Recreation",46
"Alexandra Gardens","1km - 5km","Place Of Assembly",25
"Alexandra Gardens","1km - 5km","Place of Worship",26
"Alexandra Gardens","1km - 5km","Public and Institutional Facilities",30
"Alexandra Gardens","1km - 5km","Retail",4
"Alexandra Gardens","5km - 10km","Leisure and Recreation",6
"Alexandra Gardens","5km - 10km","Public and Institutional Facilities",1
"North Melbourne Recreation Reserve","Within 500m","Leisure and Recreation",3
"North Melbourne Recreation Reserve","Within 500m","Place of Worship",1
"North Melbourne Recreation Reserve","Within 500m","Public and Institutional Facilities",1
"North Melbourne Recreation Reserve","500m - 1km","Health Services",1
"North Melbourne Recreation Reserve","500m - 1km","Place of Worship",3
"North Melbourne Recreation Reserve","500m - 1km","Public and Institutional Facilities",2
"North Melbourne Recreation Reserve","1km - 5km","Health Services",9
"North Melbourne Recreation Reserve","1km - 5km","Leisure and Recreation",63
"North Melbourne Recreation Reserve","1km - 5km","Place Of Assembly",39
"North Melbourne Recreation Reserve","1km - 5km","Place of Worship",24
"North Melbourne Recreation Reserve","1km - 5km","Public and Institutional Facilities",49
"North Melbourne Recreation Reserve","1km - 5km","Retail",4
"North Melbourne Recreation Reserve","5km - 10km","Health Services",1
"North Melbourne Recreation Reserve","5km - 10km","Leisure and Recreation",1
"North Melbourne Recreation Reserve","5km - 10km","Place Of Assembly",1
"North Melbourne Recreation Reserve","5km - 10km","Place of Worship",3
"North Melbourne Recreation Reserve","5km - 10km","Public and Institutional Facilities",2
"Princes Park","Within 500m","Leisure and Recreation",3
"Princes Park","Within 500m","Public and Institutional Facilities",1
"Princes Park","500m - 1km","Leisure and Recreation",3
"Princes Park","1km - 5km","Health Services",10
"Princes Park","1km - 5km","Leisure and Recreation",56
"Princes Park","1km - 5km","Place Of Assembly",39
"Princes Park","1km - 5km","Place of Worship",28
"Princes Park","1km - 5km","Public and Institutional Facilities",50
"Princes Park","1km - 5km","Retail",4
"Princes Park","5km - 10km","Health Services",1
"Princes Park","5km - 10km","Leisure and Recreation",5
"Princes Park","5km - 10km","Place Of Assembly",1
"Princes Park","5km - 10km","Place of Worship",3
"Princes Park","5km - 10km","Public and Institutional Facilities",3
"Shrine of Remembrance","Within 500m","Leisure and Recreation",1
"Shrine of Remembrance","Within 500m","Public and Institutional Facilities",1
"Shrine of Remembrance","500m - 1km","Leisure and Recreation",4
"Shrine of Remembrance","500m - 1km","Place Of Assembly",5
"Shrine of Remembrance","500m - 1km","Place of Worship",1
"Shrine of Remembrance","500m - 1km","Public and Institutional Facilities",11
"Shrine of Remembrance","1km - 5km","Health Services",11
"Shrine of Remembrance","1km - 5km","Leisure and Recreation",50
"Shrine of Remembrance","1km - 5km","Place Of Assembly",35
"Shrine of Remembrance","1km - 5km","Place of Worship",28
"Shrine of Remembrance","1km - 5km","Public and Institutional Facilities",40
"Shrine of Remembrance","1km - 5km","Retail",4
"Shrine of Remembrance","5km - 10km","Leisure and Recreation",12
"Shrine of Remembrance","5km - 10km","Place of Worship",2
